,Field Name,Description,FHIR Resource,Coverage / Claim Type,fhirPath,example,notes,sourceView,sourceColumn,bfdDerived,sources,referenceTable,cclfMapping,ccwMapping,profiles
167,Claim PPS Indicator Code,"EFFECTIVE WITH NCH VERSION H, THE CODE INDICATING WHETHER OR NOT THE (1) CLAIM IS PPS AND/OR (2) THE BENEFICIARY IS A DEEMED INSURED MEDICARE QUALIFIED GOVERNMENT EMPLOYEE (MQGE).  NOTE:  BEGINNING WITH NCH WEEKLY PROCESS DATE 10/3/97 THROUGH 5/29/98, THIS FIELD WAS POPULATED WITH ONLY THE PPS INDICATOR.  BEGINNING WITH NCH WEEKLY PROCESS DATE 6/5/98, THIS FIELD WAS ADDITIONALLY POPULATED WITH THE DEEMED MQGE INDICATOR. CLAIMS PROCESSED PRIOR TO 10/3/97 WILL CONTAIN SPACES. [NCH]",ExplanationOfBenefit,"['HHA', 'Hospice', 'Inpatient', 'Outpatient', 'SNF']",ExplanationOfBenefit.supportingInfo.where(category.coding.where(system='https://bluebutton.cms.gov/fhir/CodeSystem/Supporting-Information').exists() and category.coding.where(code='CLM_PPS_IND_CD').exists()).code.coding.code,2,,V2_MDCR_CLM_INSTNL,CLM_PPS_IND_CD,,['NCH'],https://bluebutton.cms.gov/fhir/CodeSystem/CLM-PPS-IND-CD,,['CLM_PPS_IND_CD'],['CMS']
168,Claim Total PPS Capital Amount,"THE TOTAL AMOUNT THAT IS PAYABLE FOR CAPITAL PPS FOR THE CLAIM.   THIS IS THE SUM OF THE CAPITAL HOSPITAL SPECIFIC PORTION, FEDERAL SPECIFIC PORTION, OUTLIER PORTION, DISPROPORTIONATE SHARE PORTION, INDIRECT MEDICAL EDUCATION PORTION, EXCEPTION PAYMENTS, AND HOLD HARMLESS PAYMENTS. [NCH]",ExplanationOfBenefit,"['Inpatient', 'SNF']",ExplanationOfBenefit.adjudication.where(category.coding.where(system='https://bluebutton.cms.gov/fhir/CodeSystem/Adjudication' and code='CLM_MDCR_IP_PPS_CPTL_TOT_AMT').exists()).amount.value,11.11,,V2_MDCR_CLM_INSTNL,CLM_MDCR_IP_PPS_CPTL_TOT_AMT,,"['FISS', 'NCH']",,,['CLM_TOT_PPS_CPTL_AMT'],['CMS']
169,Utilization Day Count,"THE NUMBER OF INPATIENT DAYS COVERED BY THE PRIMARY PROVIDER.  FOR MEDICARE IP & HOSPICE, THE NUMBER OF COVERED DAYS OF CARE THAT ARE CHARGEABLE TO MEDICARE FACILITY UTILIZATION THAT INCLUDES FULL DAYS, COINSURANCE DAYS, AND LIFETIME RESERVE DAYS. [HRMZ]",ExplanationOfBenefit,"['Hospice', 'Inpatient', 'SNF']",ExplanationOfBenefit.adjudication.where(category.coding.where(system='https://bluebutton.cms.gov/fhir/CodeSystem/Adjudication' and code='CLM_INSTNL_CVRD_DAY_CNT').exists()).value,30,,V2_MDCR_CLM_INSTNL,CLM_INSTNL_CVRD_DAY_CNT,,"['FISS', 'NCH']",,,,['CMS']
170,FI Number,A NUMBER ASSIGNED BY CENTERS FOR MEDICARE AND MEDICAID SERVICES (CMS) IDENTIFYING A MEDICARE ADMINISTRATIVE CONTRACTOR (MAC) AUTHORIZED TO PROCESS MEDICARE CLAIMS.    REFERENCE TABLE: CLM_CNTRCTR_NUM,ExplanationOfBenefit,"['Carrier', 'DME', 'HHA', 'Hospice', 'Inpatient', 'Outpatient', 'SNF']",ExplanationOfBenefit.supportingInfo.where(category.coding.where(system='https://bluebutton.cms.gov/fhir/CodeSystem/Supporting-Information').exists() and category.coding.where(code='CLM_CNTRCTR_NUM').exists()).code.coding.code,10312,,V2_MDCR_CLM,CLM_CNTRCTR_NUM,,"['FISS', 'MCS', 'NCH', 'VMS']",https://bluebutton.cms.gov/fhir/CodeSystem/CLM-CNTRCTR-NUM,"['CCLF1.CLM_CNTRCTR_NUM', 'CCLF5.CLM_CNTRCTR_NUM']","['CARR_NUM', 'FI_NUM']",['CMS']
171,The code outlining the primary payer.,A CODE IDENTIFYING THE COVERAGE TYPE OF THE PRIMARY PAYER WHEN MEDICARE IS THE SECONDARY PAYER AS DEFINED BY THE COMMON WORKING FILE (CWF).REFERENCE TABLE: CLM_NCH_PRMRY_PYR_CD,ExplanationOfBenefit,"['HHA', 'Hospice', 'Inpatient', 'Outpatient', 'SNF']",ExplanationOfBenefit.supportingInfo.where(category.coding.where(system='https://bluebutton.cms.gov/fhir/CodeSystem/Supporting-Information').exists() and category.coding.where(code='CLM_NCH_PRMRY_PYR_CD').exists()).code.coding.where(system='https://bluebutton.cms.gov/fhir/CodeSystem/CLM-PRMRY-PYR-CD').code,I,,V2_MDCR_CLM,CLM_NCH_PRMRY_PYR_CD,,"['FISS', 'MCS', 'NCH']",https://bluebutton.cms.gov/fhir/CodeSystem/CLM-NCH-PRMRY-PYR-CD,['CCLF1.CLM_NCH_PRMRY_PYR_CD'],['NCH_PRMRY_PYR_CD'],['CMS']
172,Primary Payer Paid Amount,"THE AMOUNT OF A PAYMENT MADE ON BEHALF OF A MEDICARE BENEFICIARY BY A PRIMARY PAYER OTHER THAN MEDICARE, THAT THE PROVIDER IS APPLYING TO COVERED MEDICARE CHARGES ON AN INSTITUTIONAL, CARRIER, OR DMERC CLAIM. [NCH]",ExplanationOfBenefit,"['HHA', 'Hospice', 'Inpatient', 'Outpatient', 'SNF']",ExplanationOfBenefit.adjudication.where(category.coding.where(system='https://bluebutton.cms.gov/fhir/CodeSystem/Adjudication' and code='CLM_MDCR_INSTNL_PRMRY_PYR_AMT').exists()).amount.value,50.5,,V2_MDCR_CLM_INSTNL,CLM_MDCR_INSTNL_PRMRY_PYR_AMT,,['NCH'],,,['NCH_PRMRY_PYR_CLM_PD_AMT'],['CMS']
173,Rendering Physician NPI - Header Level,"A NUMBER IDENTIFYING THE NATIONAL PROVIDER IDENTIFIER (NPI) OF THE PROVIDER WHO RENDERED THE SERVICE, AS SOURCED FROM THE NATIONAL PLAN AND PROVIDER ENUMERATION SYSTEM (NPPES).    NOTE: THIS COLUMN IS POPULATED FOR CERTAIN TYPES OF CLAIMS WHERE THE SAME RENDERING PROVIDER NPI APPLIES TO ALL LINES OF THE CLAIM, AND IF THE RENDERING PROVIDER NPI ON THE CLAIM, AS PROVIDED BY THE SOURCE SYSTEM, CAN BE FOUND IN THE INTEGRATED DEPOSIT REPOSITORY (IDR) PROVIDER DATA AS SOURCED FROM NPPES.",ExplanationOfBenefit,"['HHA', 'Inpatient', 'SNF']",ExplanationOfBenefit.careTeam.where(role.coding.where(code = 'rendering').exists()).provider.identifier.value,1942945159,,V2_MDCR_CLM,PRVDR_RNDRNG_PRVDR_NPI_NUM,,"['FISS', 'NCH']",,,,"['Basis', 'Regular', 'CMS']"
174,Rendering Provider NPI Number - Line Level,"A NUMBER IDENTIFYING THE NATIONAL PROVIDER IDENTIFIER (NPI) OF THE PROVIDER WHO RENDERED THE SERVICE, AS SOURCED FROM THE NATIONAL PLAN AND PROVIDER ENUMERATION SYSTEM (NPPES).    NOTE: THIS COLUMN IS POPULATED IF THE RENDERING PROVIDER NPI ON THE CLAIM, AS PROVIDED BY THE SOURCE SYSTEM, CAN BE FOUND IN THE INTEGRATED DEPOSIT REPOSITORY (IDR) PROVIDER DATA AS SOURCED FROM NPPES.",ExplanationOfBenefit,['Carrier'],ExplanationOfBenefit.careTeam.where(role.coding.where(code = 'rendering').exists()).provider.identifier.value,1942945159,This can be either the same or different as the other rendering provider fields. An alternative way to connect the nodes is to refer to the relevant careTeam sequence and then get the Provider's NPI from there.,V2_MDCR_CLM_LINE,PRVDR_RNDRNG_PRVDR_NPI_NUM,,"['MCS', 'NCH']",,"['CCLF5.RNDRG_PRVDR_NPI_NUM', 'CCLF5.CLM_RNDRG_PRVDR_NPI_NUM']","['CARR_LINE_PRFRMG_NPI_NUM', 'RNDRNG_PHYSN_NPI', 'PRF_PHYSN_NPI']","['Basis', 'Regular', 'CMS']"
175,Professional Component Charge,"FOR INPATIENT AND OUTPATIENT CLAIMS, THE AMOUNT OF PHYSICIAN AND OTHER PROFESSIONAL CHARGES COVERED UNDER MEDICARE PART B (E.G. IF COMPUTING INTERIM PAYMENT THESE CHARGES ARE DEDUCTED)",ExplanationOfBenefit,"['Inpatient', 'Outpatient', 'SNF']",ExplanationOfBenefit.adjudication.where(category.coding.where(system='https://bluebutton.cms.gov/fhir/CodeSystem/Adjudication' and code='CLM_INSTNL_PRFNL_AMT').exists()).amount.value,93.22,,V2_MDCR_CLM_INSTNL,CLM_INSTNL_PRFNL_AMT,,['NCH'],,['CCLFA.CLM_INSTNL_PRFNL_AMT'],['NCH_PROFNL_CMPNT_CHRG_AMT'],['CMS']
176,Blood Deductible Liability Amount,AN AMOUNT IDENTIFYING THE PORTION OF THE BLOOD DEDUCTIBLE A BENEFICIARY IS LIABLE FOR.,ExplanationOfBenefit,"['Inpatient', 'Outpatient', 'SNF']",ExplanationOfBenefit.adjudication.where(category.coding.where(system='https://bluebutton.cms.gov/fhir/CodeSystem/Adjudication' and code='CLM_BLOOD_LBLTY_AMT').exists()).amount.value,121.1,,V2_MDCR_CLM,CLM_BLOOD_LBLTY_AMT,,"['FISS', 'NCH']",,['CCLFA.CLM_BLOOD_LBLTY_AMT'],['NCH_BENE_BLOOD_DDCTBL_LBLTY_AM'],['CMS']
